name,ingredients,nova
Frosted Mini-Wheats High Fiber Breakfast Cereal,"Whole Grain Wheat, Sugar, Contains 2% Or Less Of Brown Rice Syrup, Gelatin. Vitamins And Minerals: Reduced Iron, Folic Acid.",4
Tostitos Tortilla Chips Restaurant Style,"Corn, Vegetable Oil (Corn, Canola, and/or Sunflower Oil), and Salt.",3
Rosarita Traditional Refried Beans,"Cooked Beans, Water, Less than 2% of: Lard, Salt, Distilled Vinegar, Chili Pepper, Onion Powder, Spices, Natural Flavor, Garlic Powder. ",4
Cacique Ranchero Queso Fresco Part Skim Milk Cheese,"Cultured Pasteurized Grade A Milk and Skim Milk, Sea Salt, and Enzymes",4
Rice Dream Rice Drink Enriched Original Organic,"Organic Ricemilk (Water, Organic Hydrolyzed Rice), Organic Canola Oil and/or Organic Sunflower Oil, Tricalcium Phosphate, Sea Salt, Vitamin A Palmitate, Vitamin D2 (Ergocalciferol), Vitamin B12 (Cyanocobalamin).",4
Pacifico Clara 4.4% ABV Lager Mexican Beer Bottle,"Water, Barley Malt, Non-malted Cereals, Hops",3
Eggo Buttermilk Frozen Breakfast Waffles,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Water, Vegetable Oil (Soybean, Palm, Canola And/Or Cottonseed), Buttermilk, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Sugar, Contains 2% Or Less Of Salt, Eggs, Soy Lecithin. Vitamins And Minerals: Calcium Carbonate, Iron, Vitamin A Palmitate, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12.",4
Signature SELECT Sausage Egg Cheese Muffin Sandwich,"White English Muffin: Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Dextrose, Contains Less than 2% of the Following: Cornmeal, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Potato Flour, Distilled Vinegar, Salt, Calcium Propionate, Wheat Gluten, Water, Monoglycerides, Propionic Acid, Phosphoric Acid, Fumaric Acid, Hydrogenated Soybean Oil, Non-GMO Soybean Oil, Fumaric Acid, Potassium Sorbate, Mineral Oil (Processing Aid), Non Fat Dry Milk. Pork Sausage Patty: Pork, Water, Contains 2% or Less of: Salt, Sugar, Sodium Phosphate, Spice, Dextrose, Flavoring, BHA, Propyl Gallate, Citric Acid, Caramel Color. Scrambled Egg Patty: Whole Eggs, Water, Soybean Oil, Modified Food Starch, Whey Solids, Salt, Non Fat Dry Milk, Citric Acid. Pasteurized Process American Cheese: Cultured Milk and Skim Milk, Cream, Sodium Citrate, Salt, Paprika and Annatto (Color), Sodium Phosphate, Acetic Acid, Enzymes, Sorbic Acid (Preservative), Soy Lecithin (Anti-Sticking Agent)",4
Diet Coke Soda Pop Cola Caffeine Free,"CARBONATED WATER, CARAMEL COLOR, ASPARTAME, PHOSPHORIC ACID, POTASSIUM BENZOATE (TO PROTECT TASTE), NATURAL FLAVORS, CITRIC ACID.",4
Green Asparagus,Asparagus Raw,1
Strawberries Prepacked ,Strawberries,1
Orange,Orange,1
Cabbage,Cabbage,1
Green Onion,Green onion,1
Onion,Onion,1
Banana,Banana,1
Chicken thigh,chicken thigh,1
Pork belly,pork belly,1
Blueberry,blueberry,1
Raspberry,raspberry,1
Sweetarts Gummy Fruity Splitz Pouch,"Corn Syrup, Sugar, Water, Gelatin, Contains 2% or Less of Malic Acid (DL-Malic Acid), Citric Acid, Pectin, Sodium Citrate, Coconut Oil, Color Added, Natural Flavors, Carnauba Wax, Yellow 5, Red 40, Yellow 6, Blue 1.",4
Reese's Milk Chocolate And Peanut Butter Snack Size Cups Candy Bag,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, SUGAR, DEXTROSE, SALT, TBHQ &amp; CITRIC ACID (TO MAINTAIN FRESHNESS).",4
Signature SELECT Peaches Halves in 100% Juice Can,"Peaches, Water, Pear Juice Concentrate, Peach Pulp and Juice, Ascorbic Acid (Vitamin C) to Protect Color.",3
Miracle Noodle Ready To Eat Pho Shirataki Noodles,"Water, Konjac Flour, Citric Acid, Soup Ingredients: Vegetable Juices (Onion Mushroom, Carrot, Celery, Garlic), Maltodextrin, Sugar, Salt, Yeast Extract, Natural Flavor, Xanthan Gum.",4
Progresso Light Soup Italian Style Meatball ,"Water, Tomato Puree (Water, Tomato Paste), Carrots, Celery, Cooked Meatballs Made with Pork and Turkey (Pork, Turkey, Water, Textured Soy Protein Concentrate, Romano Cheese [Romano Cheese (Pasteurized Sheep's Milk, Cheese Cultures, Salt, Enzymes), Powdered Cellulose Added to Prevent Caking], Bread Crumbs [Bleached Wheat Flour, Dextrose, Salt, Yeast], Corn Syrup, Onions, Salt, Spices, Sodium Phosphates, Garlic Powder, Onion Powder, Natural Flavor), Penne Pasta (Semolina Wheat, Egg White), Contains Less than 1% of: Sugar, Green Sweet Pepper, Salt, Potassium Chloride, Onion Powder, Corn Protein (Hydrolyzed), Maltodextrin, Xanthan Gum, Yeast Extract, Spice, Natural Flavor, Tomato Extract, Garlic Powder, Citric Acid, Roasted Garlic (Dried), Lactic Acid, Nonfat Milk (Dried), Cream (Dried), Butter, Modified Food Starch, Cheddar Cheese (Dried) (Cultured Milk, Salt, Enzymes), Whey Powder, Buttermilk (Dried), Sodium Phosphate.",4
